feeding_date_STD,formula,ingredient_name,dry_call_weight,dry_actual_weight,dry_call_weight_sum,dry_actual_weight_sum,Crude_Protein_%DM,aNDFom_%DM,Starch_%DM,error_CP_per_ingredient_%,error_aNDFom_per_ingredient_%,error_Starch_per_ingredient_%,total_CP_error_%,total_aNDFom_error_%,total_Starch_error_%
2025-12-27,DRYCOW,PRO,122.0,124.0,5222.0,5256.0,,,,,,,2.3858068756196498,-0.4424330808283924,0.9068684357885342
2025-12-27,DRYCOW,SBM,164.0,180.0,5222.0,5256.0,53.17,10.92,2.17,9.756097560975606,9.756097560975608,9.75609756097561,2.3858068756196498,-0.4424330808283924,0.9068684357885342
2025-12-27,DRYCOW,SOY,444.0,436.0,5222.0,5256.0,12.71,64.45,1.02,-1.8018018018018076,-1.8018018018018038,-1.8018018018017994,2.3858068756196498,-0.4424330808283924,0.9068684357885342
2025-12-27,DRYCOW,TCL,848.0,848.0,5222.0,5256.0,12.0,55.0,2.5,0.0,0.0,0.0,2.3858068756196498,-0.4424330808283924,0.9068684357885342
2025-12-28,DRYCOW,Dry,40.0,38.0,5284.0,5348.0,,,,,,,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-28,DRYCOW,NOB,990.0,994.0,5284.0,5348.0,,,,,,,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-28,DRYCOW,Non,2648.0,2674.0,5284.0,5348.0,,,,,,,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-28,DRYCOW,PRO,124.0,124.0,5284.0,5348.0,,,,,,,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-28,DRYCOW,SBM,164.0,180.0,5284.0,5348.0,53.17,10.92,2.17,9.756097560975606,9.756097560975608,9.75609756097561,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-28,DRYCOW,SOY,446.0,456.0,5284.0,5348.0,12.71,64.45,1.02,2.2421524663677017,2.2421524663677106,2.24215246636772,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-28,DRYCOW,TCL,872.0,882.0,5284.0,5348.0,12.0,55.0,2.5,1.1467889908256907,1.1467889908256879,1.1467889908256879,3.1677635096585934,1.7443275150014907,2.3378360304935053
2025-12-29,DRYCOW,Dry,18.0,10.0,2444.0,2454.0,,,,,,,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-29,DRYCOW,NOB,469.0,475.0,2444.0,2454.0,,,,,,,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-29,DRYCOW,Non,1219.0,1233.0,2444.0,2454.0,,,,,,,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-29,DRYCOW,PRO,57.0,53.0,2444.0,2454.0,,,,,,,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-29,DRYCOW,SBM,75.0,72.0,2444.0,2454.0,53.17,10.92,2.17,-3.9999999999999876,-3.999999999999994,-3.999999999999996,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-29,DRYCOW,SOY,205.0,209.0,2444.0,2454.0,12.71,64.45,1.02,1.9512195121951286,1.9512195121951241,1.951219512195141,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-29,DRYCOW,TCL,401.0,402.0,2444.0,2454.0,12.0,55.0,2.5,0.24937655860350072,0.24937655860348354,0.24937655860349484,-1.2516324589253707,0.7760296511829367,0.00509331684068938
2025-12-30,DRYCOW,Dry,34.0,20.0,4474.0,4488.0,,,,,,,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-30,DRYCOW,NOB,858.0,856.0,4474.0,4488.0,,,,,,,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-30,DRYCOW,Non,2234.0,2260.0,4474.0,4488.0,,,,,,,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-30,DRYCOW,PRO,104.0,106.0,4474.0,4488.0,,,,,,,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-30,DRYCOW,SBM,136.0,144.0,4474.0,4488.0,53.17,10.92,2.17,5.882352941176479,5.882352941176481,5.88235294117647,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-30,DRYCOW,SOY,374.0,364.0,4474.0,4488.0,12.71,64.45,1.02,-2.673796791443852,-2.673796791443859,-2.6737967914438467,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-30,DRYCOW,TCL,734.0,738.0,4474.0,4488.0,12.0,55.0,2.5,0.5449591280653996,0.5449591280653923,0.5449591280653835,1.3481614543352363,-0.5111324508311313,0.6832298136645882
2025-12-31,DRYCOW,Dry,46.0,58.0,6036.0,6130.0,,,,,,,0.8879013184721378,0.9789287588826795,1.6563642949789088
2025-12-31,DRYCOW,NOB,1134.0,1146.0,6036.0,6130.0,,,,,,,0.8879013184721378,0.9789287588826795,1.6563642949789088
2025-12-31,DRYCOW,Non,3018.0,3082.0,6036.0,6130.0,,,,,,,0.8879013184721378,0.9789287588826795,1.6563642949789088
2025-12-31,DRYCOW,PRO,142.0,124.0,6036.0,6130.0,,,,,,,0.8879013184721378,0.9789287588826795,1.6563642949789088
2025-12-31,DRYCOW,SBM,188.0,198.0,6036.0,6130.0,53.17,10.92,2.17,5.319148936170206,5.319148936170189,5.319148936170204,0.8879013184721378,0.9789287588826795,1.6563642949789088
2025-12-31,DRYCOW,SOY,510.0,510.0,6036.0,6130.0,12.71,64.45,1.02,0.0,0.0,0.0,0.8879013184721378,0.9789287588826795,1.6563642949789088
2025-12-31,DRYCOW,TCL,998.0,1012.0,6036.0,6130.0,12.0,55.0,2.5,1.4028056112224387,1.4028056112224532,1.4028056112224507,0.8879013184721378,0.9789287588826795,1.6563642949789088
2026-01-01,DRYCOW,Dry,38.0,38.0,5222.0,5270.0,,,,,,,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-01,DRYCOW,NOB,984.0,990.0,5222.0,5270.0,,,,,,,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-01,DRYCOW,Non,2616.0,2652.0,5222.0,5270.0,,,,,,,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-01,DRYCOW,PRO,124.0,142.0,5222.0,5270.0,,,,,,,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-01,DRYCOW,SBM,162.0,162.0,5222.0,5270.0,53.17,10.92,2.17,0.0,0.0,0.0,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-01,DRYCOW,SOY,442.0,436.0,5222.0,5270.0,12.71,64.45,1.02,-1.3574660633484146,-1.3574660633484228,-1.3574660633484048,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-01,DRYCOW,TCL,856.0,850.0,5222.0,5270.0,12.0,55.0,2.5,-0.7009345794392512,-0.7009345794392547,-0.7009345794392458,-1.510364834974979,-0.9267360039846971,-0.7177862818534589
2026-01-02,DRYCOW,Dry,38.0,38.0,5454.0,5522.0,,,,,,,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-02,DRYCOW,NOB,1096.0,1102.0,5454.0,5522.0,,,,,,,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-02,DRYCOW,Non,2736.0,2766.0,5454.0,5522.0,,,,,,,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-02,DRYCOW,PRO,124.0,142.0,5454.0,5522.0,,,,,,,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-02,DRYCOW,SBM,162.0,162.0,5454.0,5522.0,53.17,10.92,2.17,0.0,0.0,0.0,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-02,DRYCOW,SOY,442.0,456.0,5454.0,5522.0,12.71,64.45,1.02,3.1674208144796294,3.167420814479626,3.167420814479644,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-02,DRYCOW,TCL,856.0,856.0,5454.0,5522.0,12.0,55.0,2.5,0.0,0.0,0.0,-0.5141942928118864,1.1667279146021772,0.48532140648045996
2026-01-03,DRYCOW,Dry,36.0,20.0,5186.0,5192.0,,,,,,,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-03,DRYCOW,NOB,1044.0,1050.0,5186.0,5192.0,,,,,,,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-03,DRYCOW,Non,2590.0,2618.0,5186.0,5192.0,,,,,,,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-03,DRYCOW,PRO,118.0,124.0,5186.0,5192.0,,,,,,,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-03,DRYCOW,SBM,154.0,144.0,5186.0,5192.0,53.17,10.92,2.17,-6.493506493506485,-6.493506493506497,-6.493506493506496,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-03,DRYCOW,SOY,420.0,418.0,5186.0,5192.0,12.71,64.45,1.02,-0.4761904761904711,-0.47619047619047145,-0.4761904761904859,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-03,DRYCOW,TCL,824.0,818.0,5186.0,5192.0,12.0,55.0,2.5,-0.7281553398058241,-0.7281553398058278,-0.7281553398058355,-2.7993531929730295,-0.7669701425719228,-1.3725031708578783
2026-01-04,DRYCOW,Dry,36.0,20.0,4934.0,4968.0,,,,,,,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-04,DRYCOW,NOB,890.0,908.0,4934.0,4968.0,,,,,,,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-04,DRYCOW,Non,2458.0,2496.0,4934.0,4968.0,,,,,,,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-04,DRYCOW,PRO,118.0,124.0,4934.0,4968.0,,,,,,,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-04,DRYCOW,SBM,152.0,144.0,4934.0,4968.0,53.17,10.92,2.17,-5.263157894736832,-5.26315789473683,-5.263157894736828,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-04,DRYCOW,SOY,414.0,400.0,4934.0,4968.0,12.71,64.45,1.02,-3.3816425120772995,-3.3816425120773035,-3.381642512077301,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-04,DRYCOW,TCL,866.0,876.0,4934.0,4968.0,12.0,55.0,2.5,1.1547344110854532,1.1547344110854503,1.1547344110854503,-2.7066114116018896,-0.5787121436884523,-0.22762176393155434
2026-01-05,DRYCOW,Dry,19.0,19.0,2495.0,2509.0,,,,,,,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-05,DRYCOW,NOB,448.0,454.0,2495.0,2509.0,,,,,,,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-05,DRYCOW,Non,1247.0,1259.0,2495.0,2509.0,,,,,,,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-05,DRYCOW,PRO,59.0,62.0,2495.0,2509.0,,,,,,,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-05,DRYCOW,SBM,77.0,81.0,2495.0,2509.0,53.17,10.92,2.17,5.194805194805202,5.194805194805193,5.1948051948051805,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-05,DRYCOW,SOY,209.0,200.0,2495.0,2509.0,12.71,64.45,1.02,-4.306220095693787,-4.30622009569378,-4.306220095693784,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-05,DRYCOW,TCL,436.0,434.0,2495.0,2509.0,12.0,55.0,2.5,-0.4587155963302791,-0.4587155963302847,-0.45871559633028175,0.058537803441992234,-1.6880516488386708,-0.37408095111781997
2026-01-06,DRYCOW,Dry,18.0,10.0,2381.0,2374.0,,,,,,,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-06,DRYCOW,NOB,451.0,450.0,2381.0,2374.0,,,,,,,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-06,DRYCOW,Non,1186.0,1191.0,2381.0,2374.0,,,,,,,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-06,DRYCOW,PRO,57.0,53.0,2381.0,2374.0,,,,,,,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-06,DRYCOW,SBM,74.0,72.0,2381.0,2374.0,53.17,10.92,2.17,-2.7027027027026884,-2.7027027027027017,-2.7027027027026955,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-06,DRYCOW,SOY,202.0,200.0,2381.0,2374.0,12.71,64.45,1.02,-0.9900990099009797,-0.9900990099010019,-0.9900990099009889,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-06,DRYCOW,TCL,393.0,398.0,2381.0,2374.0,12.0,55.0,2.5,1.2722646310432602,1.2722646310432568,1.272264631043257,-0.3467114096177338,0.3506011797309401,0.4536290322580606
2026-01-07,DRYCOW,Dry,19.0,19.0,2585.0,2579.0,,,,,,,1.3263154013858227,0.371783209523987,0.5438430189514869
2026-01-07,DRYCOW,NOB,497.0,507.0,2585.0,2579.0,,,,,,,1.3263154013858227,0.371783209523987,0.5438430189514869
2026-01-07,DRYCOW,Non,1291.0,1279.0,2585.0,2579.0,,,,,,,1.3263154013858227,0.371783209523987,0.5438430189514869
2026-01-07,DRYCOW,PRO,61.0,53.0,2585.0,2579.0,,,,,,,1.3263154013858227,0.371783209523987,0.5438430189514869
